x,y,group,time
2.030412995,1.045882702,NIST_A_T0,0
2.037613041,1.04586482,NIST_A_T0,0
2.044813087,1.045787334,NIST_A_T0,0
2.052013133,1.045638323,NIST_A_T0,0
2.059213179,1.045405865,NIST_A_T0,0
2.066413225,1.045101881,NIST_A_T0,0
2.073613271,1.044732332,NIST_A_T0,0
2.080813317,1.044327021,NIST_A_T0,0
2.088013363,1.043909788,NIST_A_T0,0
2.095213409,1.043510437,NIST_A_T0,0
2.102413455,1.043188572,NIST_A_T0,0
2.109613502,1.042938232,NIST_A_T0,0
2.116813548,1.0427773,NIST_A_T0,0
2.124013594,1.042640209,NIST_A_T0,0
2.13121364,1.042521,NIST_A_T0,0
2.138413686,1.042348146,NIST_A_T0,0
2.145613732,1.042115688,NIST_A_T0,0
2.152813778,1.041811705,NIST_A_T0,0
2.160013824,1.041436195,NIST_A_T0,0
2.16721387,1.041024923,NIST_A_T0,0
2.174413916,1.040625572,NIST_A_T0,0
2.181613962,1.040291786,NIST_A_T0,0
2.188814008,1.040077209,NIST_A_T0,0
2.196014054,1.039999723,NIST_A_T0,0
2.203214101,1.040077209,NIST_A_T0,0
2.210414147,1.040279865,NIST_A_T0,0
2.217614193,1.040565968,NIST_A_T0,0
2.224814239,1.040887833,NIST_A_T0,0
2.232014285,1.041203737,NIST_A_T0,0
2.239214331,1.041477919,NIST_A_T0,0
2.246414377,1.041704416,NIST_A_T0,0
2.253614423,1.04187727,NIST_A_T0,0
2.260814469,1.0420084,NIST_A_T0,0
2.268014515,1.042091846,NIST_A_T0,0
2.275214561,1.04213953,NIST_A_T0,0
2.282414607,1.042187214,NIST_A_T0,0
2.289614654,1.042234898,NIST_A_T0,0
2.2968147,1.042288542,NIST_A_T0,0
2.304014746,1.042348146,NIST_A_T0,0
2.311214792,1.042407751,NIST_A_T0,0
2.318414838,1.042467356,NIST_A_T0,0
2.325614884,1.042544842,NIST_A_T0,0
2.33281493,1.042628288,NIST_A_T0,0
2.340014976,1.042717695,NIST_A_T0,0
2.347215022,1.0427773,NIST_A_T0,0
2.354415068,1.042813063,NIST_A_T0,0
2.361615114,1.042830944,NIST_A_T0,0
2.36881516,1.042830944,NIST_A_T0,0
2.376015206,1.042824984,NIST_A_T0,0
2.383215253,1.042830944,NIST_A_T0,0
2.390415299,1.042836905,NIST_A_T0,0
2.397615345,1.042836905,NIST_A_T0,0
2.404815391,1.042842865,NIST_A_T0,0
2.412015437,1.042842865,NIST_A_T0,0
2.419215483,1.042854786,NIST_A_T0,0
2.426415529,1.042890549,NIST_A_T0,0
2.433615575,1.042956114,NIST_A_T0,0
2.440815621,1.043087244,NIST_A_T0,0
2.448015667,1.043319702,NIST_A_T0,0
2.455215713,1.04368329,NIST_A_T0,0
2.462415759,1.044207811,NIST_A_T0,0
2.469615806,1.044893265,NIST_A_T0,0
2.476815852,1.045715809,NIST_A_T0,0
2.484015898,1.046621799,NIST_A_T0,0
2.491215944,1.047563553,NIST_A_T0,0
2.49841599,1.048487425,NIST_A_T0,0
2.505616036,1.049381495,NIST_A_T0,0
2.512816082,1.05022192,NIST_A_T0,0
2.520016128,1.050984859,NIST_A_T0,0
2.527216174,1.051688194,NIST_A_T0,0
2.53441622,1.052349806,NIST_A_T0,0
2.541616266,1.052999496,NIST_A_T0,0
2.548816312,1.053649187,NIST_A_T0,0
2.556016359,1.054304838,NIST_A_T0,0
2.563216405,1.054948568,NIST_A_T0,0
2.570416451,1.055538654,NIST_A_T0,0
2.577616497,1.056039333,NIST_A_T0,0
2.584816543,1.056426764,NIST_A_T0,0
2.592016589,1.056677103,NIST_A_T0,0
2.599216635,1.05677247,NIST_A_T0,0
2.606416681,1.056724787,NIST_A_T0,0
2.613616727,1.056545973,NIST_A_T0,0
2.620816773,1.056259871,NIST_A_T0,0
2.628016819,1.055926085,NIST_A_T0,0
2.635216865,1.055544615,NIST_A_T0,0
2.642416911,1.055157185,NIST_A_T0,0
2.649616958,1.054781675,NIST_A_T0,0
2.656817004,1.054441929,NIST_A_T0,0
2.66401705,1.054155827,NIST_A_T0,0
2.671217096,1.053935289,NIST_A_T0,0
2.678417142,1.053768396,NIST_A_T0,0
2.685617188,1.053661108,NIST_A_T0,0
2.692817234,1.053595543,NIST_A_T0,0
2.70001728,1.05355382,NIST_A_T0,0
2.707217326,1.053488255,NIST_A_T0,0
2.714417372,1.053386927,NIST_A_T0,0
2.721617418,1.053214073,NIST_A_T0,0
2.728817464,1.052957773,NIST_A_T0,0
2.736017511,1.052618027,NIST_A_T0,0
2.743217557,1.052218676,NIST_A_T0,0
